,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Australian Capital Territory,1.0,0.6663709503837618,0.857183257240937,0.8008389777762968,0.7955151086653746,0.8870063514977695,0.7383238480647103,0.8007583130927979
New South Wales,0.6663709503837618,0.9999999999999999,0.6147702901943632,0.8447830995000807,0.8155942589904853,0.7143836590220143,0.8476052249637154,0.63933236574746
Northern Territory,0.8571832572409371,0.6147702901943632,1.0,0.6965890425578078,0.712202384354974,0.8461756821667019,0.6433745778796109,0.8180664899771036
Queensland,0.8008389777762968,0.8447830995000807,0.6965890425578078,0.9999999999999999,0.9147718109982261,0.8464857625982234,0.9417029511369135,0.7921303015642638
South Australia,0.7955151086653746,0.8155942589904853,0.7122023843549741,0.9147718109982261,0.9999999999999999,0.8734223331687079,0.830188679245283,0.7984196097403644
Tasmania,0.8870063514977695,0.7143836590220143,0.8461756821667019,0.8464857625982233,0.8734223331687079,1.0,0.7864026935113638,0.8470099772949543
Victoria,0.7383238480647103,0.8476052249637154,0.6433745778796109,0.9417029511369135,0.830188679245283,0.7864026935113638,0.9999999999999999,0.6851314304144492
Western Australia,0.8007583130927979,0.63933236574746,0.8180664899771036,0.7921303015642638,0.7984196097403644,0.8470099772949543,0.6851314304144492,0.9999999999999999
