,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Australian Capital Territory,0.9999999999999999,0.8443799387195613,0.8243831640058054,0.6981132075471698,0.7793904208998549,0.7434284792775359,0.7732623770359619,0.7497984196097404
New South Wales,0.8443799387195613,0.9999999999999999,0.8276890824060635,0.8743751007901951,0.9125141106273181,0.7432672149653282,0.9179970972423802,0.8470407998709885
Northern Territory,0.8243831640058054,0.8276890824060635,0.9999999999999999,0.6334462183518786,0.7552814062248023,0.7594742783422028,0.8243025318497017,0.6948072891469117
Queensland,0.6981132075471698,0.8743751007901951,0.6334462183518786,0.9999999999999999,0.8961457829382358,0.6209482341557814,0.8373649411385261,0.8264796000645057
South Australia,0.7793904208998549,0.9125141106273181,0.7552814062248023,0.8961457829382358,0.9999999999999999,0.7279471053055958,0.9129172714078374,0.810756329624254
Tasmania,0.7434284792775359,0.7432672149653282,0.7594742783422028,0.6209482341557814,0.7279471053055958,0.9999999999999999,0.6794871794871795,0.5986937590711175
Victoria,0.7732623770359619,0.9179970972423802,0.8243025318497017,0.8373649411385261,0.9129172714078374,0.6794871794871795,0.9999999999999999,0.7417352039993549
Western Australia,0.7497984196097404,0.8470407998709885,0.6948072891469117,0.8264796000645057,0.810756329624254,0.5986937590711175,0.7417352039993549,0.9999999999999999
